chr3R	21231735	21231935
chr2L	8072670	8072870
chr2R	7128337	7128537
chr3L	21144575	21144775
chr3L	3887005	3887205
chr3L	3942530	3942730
chr2L	122140	122340
chr2L	2355280	2355480
chr2L	4825002	4825202
chr2R	9963063	9963263
chr2R	13105030	13105230
chr2R	16176725	16176925
chr2R	19698435	19698635
chr3L	1199230	1199430
chr3L	5519080	5519280
chr3L	5797192	5797392
chr3L	11940235	11940435
chr3L	14818805	14819005
chr3R	20308112	20308312
chr3R	28877760	28877960
chr3R	23700160	23700360
chr2R	12491247	12491447
chr3R	11805054	11805254
chr3R	22114885	22115085
chr2L	8956847	8957047
chr2L	7578740	7578940
chr2R	12534390	12534590
chr2R	13258733	13258933
chr3L	10814417	10814617
chr2R	20301855	20302055
chr3L	20261581	20261781
chr3L	10814416	10814616
chr3L	19243656	19243856
